Join_R,26,1053
Join_R,4003980,7149
Join_R,26,903
Join_R,50005,1278
Join_R,4009998,6573
Join_R,65920,1528
Join_R,606703,1889
Join_R,2347,942
Join_R,26,896
Join_R,8007861,7224
Join_R,26,1016
Join_R,100005,1568
Join_R,8020033,6467
Join_R,131444,2059
Join_R,1214542,2711
Join_R,4677,1031
Join_R,20019926,9161
Join_R,26,954
Join_R,26,922
Join_R,250005,1940
Join_R,20049996,7584
Join_R,329704,3449
Join_R,3030536,4969
Join_R,11591,1298
Join_R,40039771,9654
Join_R,26,985
Join_R,26,996
Join_R,500005,2258
Join_R,40100324,9380
Join_R,659084,5490
Join_R,6078593,8342
Join_R,23500,1369
Join_R,4003980,7241
Join_R,26,882
Join_R,26,904
Join_R,50005,1266
Join_R,4009998,6607
Join_R,65920,1670
Join_R,1799840,4497
Join_R,606703,2097
Join_R,2347,1034
Join_R,26,960
Join_R,8007861,7026
Join_R,26,943
Join_R,100005,1787
Join_R,8020033,6202
Join_R,131444,1964
Join_R,3602640,7387
Join_R,1214542,2563
Join_R,4677,1183
Join_R,26,947
Join_R,20019926,8793
Join_R,26,946
Join_R,250005,1818
Join_R,20049996,7471
Join_R,329704,2886
Join_R,8999680,16137
Join_R,3030536,4818
Join_R,11591,1307
Join_R,26,963
Join_R,40039771,10547
Join_R,26,1218
Join_R,500005,2311
Join_R,40100324,8646
Join_R,659084,6156
Join_R,18025920,16526
Join_R,6078593,7805
Join_R,23500,1899
Join_R,26,991
Join_R,4003980,6605
Join_R,26,982
Join_R,50005,1211
Join_R,4009998,6154
Join_R,65920,1549
Join_R,1799840,4831
Join_R,606703,1959
Join_R,2347,998
Join_R,26,935
Join_R,26,989
Join_R,8007861,6961
Join_R,100005,1453
Join_R,8020033,6254
Join_R,131444,2262
Join_R,3602640,7552
Join_R,1214542,2852
Join_R,4677,1312
Join_R,26,946
Join_R,20019926,8906
Join_R,26,884
Join_R,250005,1703
Join_R,20049996,7907
Join_R,329704,3164
Join_R,8999680,17133
Join_R,3030536,4944
Join_R,11591,1264
Join_R,26,1310
Join_R,40039771,9316
Join_R,26,949
Join_R,500005,2660
Join_R,40100324,10232
Join_R,659084,5137
Join_R,18025920,16405
Join_R,6078593,8261
Join_R,23500,1364
Join_R,8007861,7102
Join_R,20019926,8458
Join_R,40039771,9377
Join_R,6078593,8345
Join_R,8007861,6768
Join_R,3602640,7335
Join_R,20019926,8357
Join_R,8999680,16221
Join_R,40039771,12294
Join_R,18025920,16313
Join_R,6078593,8066
